testiaineisto: 1000:1000:1:1:2:1 esteitä, akseliensuuntainen, 500:5, ennen rehash
polun pituus	aika ms
575	57
505	61
225	3
1034	509
882	239
511	31
990	331
653	47
393	21
1180	696
568	46
948	299
1373	1596
659	61
1580	2214
609	55
864	212
361	13
836	195
197	2
846	287
904	172
878	264
405	13
564	46
1146	676
466	26
685	80
467	28
660	78
323	8
258	6
1450	1895
436	21
904	269
613	60
745	119
656	98
722	119
530	57
383	15
593	72
847	149
583	70
573	45
944	199
785	167
652	69
562	50
267	5
1146	724
357	11
446	27
531	39
1032	344
1008	458
318	9
970	301
474	23
1174	798
656	70
813	110
713	73
1070	454
582	53
1341	939
740	129
425	22
538	39
1062	494
932	280
302	9
719	100
926	594
223	3
586	55
502	37
827	154
264	11
690	85
601	70
768	127
942	300
870	198
946	361
285	5
884	251
531	46
1001	350
496	30
1240	892
617	83
581	60
647	73
849	150
826	153
385	14
450	24
731	139
690	101
812	163
469	27
448	19
230	4
495	34
929	331
716	100
618	68
969	336
704	84
506	57
645	79
1107	467
439	21
868	208
930	227
1429	1312
356	11
1590	2682
903	259
909	282
973	250
506	40
237	4
30	0
458	38
784	222
1154	748
650	93
731	118
305	8
148	1
650	77
957	309
246	4
231	4
651	68
458	21
576	47
359	12
477	47
850	206
538	37
906	220
899	284
462	22
554	43
881	112
676	167
604	56
292	5
659	69
977	411
1070	640
1186	800
511	44
1164	1567
935	280
440	27
895	256
338	7
488	32
350	20
1288	1133
357	12
641	127
1282	1091
684	68
501	26
1126	718
750	113
777	147
312	22
209	4
792	138
604	64
448	23
895	214
743	165
580	54
1117	551
1409	1457
394	14
883	355
1468	1761
898	207
1005	387
773	120
380	16
452	28
844	238
529	35
729	76
913	268
566	119
1444	3393
643	77
341	12
575	47
906	277
380	16
900	274
1065	541
695	62
615	87
994	371
638	44
609	66
748	102
1629	2886
854	211
242	5
614	66
902	307
1297	1096
1063	545
795	158
1662	3238
259	5
338	9
135	1
921	220
290	7
985	389
1034	440
627	66
667	69
825	187
1559	2502
776	104
996	341
1288	1143
541	44
493	33
448	23
146	1
999	460
136	1
1294	1238
949	265
251	4
540	45
529	48
414	17
806	191
932	406
732	132
1275	986
451	35
704	92
887	265
171	2
136	1
681	75
985	371
1338	1178
812	121
98	0
901	295
628	79
873	198
542	49
566	44
1425	1863
786	259
867	277
681	101
151	1
413	25
263	2
548	41
765	160
1204	865
482	23
424	23
1103	526
873	169
807	179
1521	2469
748	115
557	49
554	49
442	19
505	34
473	28
1028	510
1173	718
593	51
537	34
414	16
826	213
577	53
598	65
807	147
125	1
79	0
889	211
184	2
338	11
939	260
115	1
178	5
858	216
531	35
1008	355
1053	878
307	15
955	207
366	14
572	40
1350	1259
564	84
1082	475
1090	534
1062	1074
627	55
505	33
83	0
1250	968
816	189
1000	377
175	3
1539	2246
634	54
1333	1285
942	334
302	7
591	62
1193	803
336	10
1661	3053
1205	817
83	0
794	196
857	252
515	36
644	179
152	4
226	3
817	301
480	27
894	125
370	16
433	21
907	268
485	36
111	0
263	5
390	15
374	14
1364	1307
300	8
988	333
606	58
509	40
944	202
465	28
651	72
1155	670
248	4
1325	1092
468	25
604	71
353	13
136	1
185	2
1022	445
730	101
474	35
922	318
1050	368
829	182
292	6
372	14
251	5
65	0
347	14
880	205
524	36
995	423
1257	946
904	240
659	62
268	6
405	15
867	221
692	86
840	139
1092	540
272	7
976	448
661	84
1281	2209
325	14
242	4
303	27
466	30
960	337
