Silithus;10;10;Tanaris;110;10;210
Silithus;10;10;Feralas;15;140;190
Silithus;10;10;Thousand Needles;55;65;120
Tanaris;110;10;Thousand Needles;55;65;130
Feralas;15;140;Thousand Needles;55;65;310
Feralas;15;140;Desolace;20;250;180
Feralas;15;140;Thunder Bluff;55;180;120
Thousand Needles;55;65;Thunder Bluff;55;180;195
Thousand Needles;55;65;The Barrens;60;310;400
Thousand Needles;55;65;Dustswallow Marsh;180;230;270
Desolace;20;250;Thunder Bluff;55;180;180
Desolace;20;250;Stonetalon Mountains;45;490;320
Thunder Bluff;55;180;The Barrens;60;310;225
Thunder Bluff;55;180;Stonetalon Mountains;45;490;405
The Barrens;60;310;Stonetalon Mountains;45;490;230
Stonetalon Mountains;45;490;Darkshore;110;520;140
Azuremyst Isle;5;605;Bloodmyst Isle;10;700;120
