Laatikko: x = 81, y = 69, z = 58, orientaatio: 0, sijainti: x = 0, y = 0, z = 0
Laatikko: x = 81, y = 69, z = 58, orientaatio: 0, sijainti: x = 0, y = 0, z = 58
Laatikko: x = 81, y = 69, z = 58, orientaatio: 0, sijainti: x = 0, y = 0, z = 116
Laatikko: x = 81, y = 69, z = 58, orientaatio: 0, sijainti: x = 0, y = 0, z = 174
Laatikko: x = 81, y = 69, z = 58, orientaatio: 0, sijainti: x = 0, y = 0, z = 232
Laatikko: x = 81, y = 69, z = 58, orientaatio: 0, sijainti: x = 0, y = 0, z = 290
Laatikko: x = 81, y = 69, z = 58, orientaatio: 0, sijainti: x = 0, y = 0, z = 348
Laatikko: x = 81, y = 69, z = 58, orientaatio: 0, sijainti: x = 0, y = 0, z = 406
Laatikko: x = 81, y = 69, z = 58, orientaatio: 0, sijainti: x = 0, y = 0, z = 464
Laatikko: x = 100, y = 40, z = 42, orientaatio: 3, sijainti: x = 0, y = 0, z = 522
Laatikko: x = 100, y = 40, z = 42, orientaatio: 3, sijainti: x = 0, y = 0, z = 622
Laatikko: x = 100, y = 40, z = 42, orientaatio: 3, sijainti: x = 0, y = 0, z = 722
Laatikko: x = 100, y = 40, z = 42, orientaatio: 3, sijainti: x = 0, y = 0, z = 822
Laatikko: x = 100, y = 40, z = 42, orientaatio: 3, sijainti: x = 0, y = 0, z = 922
Laatikko: x = 100, y = 40, z = 42, orientaatio: 3, sijainti: x = 0, y = 0, z = 1022
Laatikko: x = 100, y = 40, z = 42, orientaatio: 3, sijainti: x = 0, y = 0, z = 1122
Laatikko: x = 100, y = 40, z = 42, orientaatio: 3, sijainti: x = 0, y = 0, z = 1222
Laatikko: x = 14, y = 79, z = 102, orientaatio: 2, sijainti: x = 0, y = 42, z = 522
Laatikko: x = 14, y = 79, z = 102, orientaatio: 2, sijainti: x = 0, y = 42, z = 624
Laatikko: x = 14, y = 79, z = 102, orientaatio: 2, sijainti: x = 0, y = 42, z = 726
Laatikko: x = 14, y = 79, z = 102, orientaatio: 2, sijainti: x = 0, y = 42, z = 828
Laatikko: x = 14, y = 79, z = 102, orientaatio: 2, sijainti: x = 0, y = 42, z = 930
Laatikko: x = 14, y = 79, z = 102, orientaatio: 2, sijainti: x = 0, y = 42, z = 1032
Laatikko: x = 14, y = 79, z = 102, orientaatio: 2, sijainti: x = 0, y = 42, z = 1134
Laatikko: x = 14, y = 79, z = 102, orientaatio: 2, sijainti: x = 0, y = 42, z = 1236
Laatikko: x = 14, y = 79, z = 102, orientaatio: 2, sijainti: x = 0, y = 42, z = 1338
