nimi	täyttösuhde	aika	laatikoiden määrä
homo1	99.09279	774.0	716100
homo2	99.49601	62.0	145234
homo3	99.19975	96.0	142233
homo4	98.37712	280.0	154983
homo5	96.934105	386.0	154716
homo6	93.056404	643.0	137266
homo7	82.34371	883.0	113632
homo8	74.601295	1178.0	99670
homo9	74.43806	1579.0	100284
homo10	78.853294	1979.0	114734
koko1	99.30412	4394.0	7843392
koko2	99.20833	619.0	1936968
koko3	98.93742	19.0	592920
koko4	98.00015	4.0	104544
koko5	97.45239	10.0	53685
koko6	97.238106	99.0	26877
koko7	96.61072	3.0	14549
patukat	98.829185	6.0	59267
