nimi	täyttösuhde	aika	laatikoiden määrä
homo1	99.71452	146	164640
homo2	98.88042	391	264216
homo3	98.635956	613	249451
homo4	98.93086	820	180364
homo5	96.88321	1131	157370
homo6	91.07169	1712	140197
homo7	84.10519	2550	117372
homo8	79.04227	3601	107019
homo9	73.9392	4853	97406
homo10	75.46701	5781	102074
koko1	98.47991	7630	2146862
koko2	99.42519	5944	1929630
koko3	98.72848	592	646074
koko4	98.25947	163	140280
koko5	97.79524	16	56390
koko6	94.74428	64	28490
koko7	93.19789	6	12452
patukat	99.41573	72	104461
